compiler,size,cputime_0,cputime_1,cputime_2,cputime_3,cputime_4,cputime_5,cputime_6,cputime_7,cputime_8,cputime_9,cputime_10,cputime_11,cputime_12,cputime_13,cputime_14,cputime_15,mean,stddev
exomlir,32768,12455.1,10919.8,12117.1,11081.6,13665.4,11106.8,10846.9,10399.3,13596.8,11580.4,10993.1,12044.6,11256.2,10911.3,11221.4,11006.1,11575.1,961.947
exomlir,65536,25488.3,24797.8,28736.4,29386.1,32247.6,30745.0,30933.4,26493.7,27700.1,26963.6,27900.9,33759.0,26942.8,26194.9,25520.8,26382.1,28137.0,2616.06
exomlir,131072,64608.6,66547.3,65133.1,74980.1,65006.6,64475.2,65879.8,63884.6,64702.3,64278.2,64008.3,62302.4,69865.1,73076.4,69940.1,70659.0,66834.2,3695.29
exomlir,262144,134347.0,135436.0,134128.0,137523.0,136860.0,142073.0,135591.0,135614.0,132403.0,133736.0,143857.0,136962.0,134787.0,134368.0,134869.0,136794.0,136209.0,2976.31
exomlir,524288,277842.0,260691.0,259712.0,261114.0,258402.0,259543.0,277053.0,262423.0,263319.0,258813.0,275092.0,258042.0,271273.0,256845.0,259082.0,258228.0,263592.0,7294.57
exomlir,1048576,516081.0,512375.0,506543.0,526785.0,539516.0,559096.0,522799.0,538199.0,528412.0,522434.0,507359.0,546672.0,508373.0,547083.0,514373.0,505236.0,525084.0,16736.7
exomlir,2097152,1027330.0,1004540.0,1012510.0,1004570.0,998442.0,966015.0,1047970.0,1010240.0,1028980.0,1027370.0,1003490.0,1009630.0,1160320.0,1036930.0,1034600.0,1006440.0,1023710.0,41239.8
exomlir,4194304,1923280.0,2089250.0,1822780.0,2059370.0,1959270.0,2020220.0,1906580.0,2056170.0,1868810.0,2053240.0,1851510.0,2097380.0,1884460.0,2014560.0,1844980.0,2219400.0,1979450.0,113516.0
exomlir,8388608,4067370.0,3763620.0,3703930.0,4117520.0,3736110.0,4237450.0,4144700.0,3718530.0,3825370.0,3679470.0,3657420.0,4425730.0,3899880.0,3950070.0,4080930.0,4081750.0,3943120.0,230055.0
exomlir,16777216,8682130.0,7935770.0,8303190.0,8455940.0,8534980.0,7704380.0,9105080.0,7429910.0,8070160.0,8132370.0,7942070.0,7606030.0,8210060.0,6772840.0,7300070.0,7372610.0,7972350.0,593935.0
