compiler,size,cputime_0,cputime_1,cputime_2,cputime_3,cputime_4,cputime_5,cputime_6,cputime_7,cputime_8,cputime_9,cputime_10,cputime_11,cputime_12,cputime_13,cputime_14,cputime_15,mean,stddev
exomlir,32768,9257.63,8973.56,8697.38,9306.94,9147.31,8836.37,8640.13,8432.0,8570.87,8682.44,8445.87,8577.5,8809.44,8885.44,8750.12,8576.94,8786.87,269.333
exomlir,65536,19936.2,18604.6,17435.1,17444.6,18296.4,17920.1,18666.8,18613.3,17760.0,17394.3,19285.9,18072.2,17030.6,20844.5,17248.9,17448.8,18250.1,1053.18
exomlir,131072,45126.1,36340.6,37394.4,38372.9,42584.8,38256.4,38058.0,38068.3,36026.7,36591.7,37652.4,52851.6,39410.6,47853.8,38216.7,35789.8,39912.2,4811.22
exomlir,262144,117886.0,163790.0,185149.0,139771.0,108707.0,100080.0,116891.0,105473.0,117267.0,185504.0,186840.0,128876.0,101943.0,113347.0,109684.0,102269.0,130217.0,31903.8
exomlir,524288,259469.0,262285.0,258381.0,259915.0,293330.0,315707.0,275232.0,264176.0,273140.0,279691.0,254569.0,253524.0,337474.0,310445.0,265279.0,287715.0,278146.0,24736.2
exomlir,1048576,572857.0,600915.0,675278.0,589688.0,575455.0,568503.0,575513.0,587990.0,573935.0,578122.0,572322.0,602174.0,567592.0,579927.0,569537.0,578627.0,585527.0,26159.1
exomlir,2097152,1161580.0,1350770.0,1274170.0,1191860.0,1253480.0,1130580.0,1154880.0,1157760.0,1167250.0,1171190.0,1165850.0,1236140.0,1157270.0,1129510.0,1157340.0,1172730.0,1189520.0,59582.2
exomlir,4194304,2396720.0,2512440.0,2184070.0,2297950.0,2273110.0,2334230.0,2220400.0,2531840.0,2328510.0,2322580.0,2180260.0,2376580.0,2252580.0,2339930.0,2218900.0,2358870.0,2320560.0,102812.0
exomlir,8388608,4773200.0,4431790.0,4360970.0,4663260.0,4336230.0,4686200.0,5116090.0,4325960.0,4410660.0,4419720.0,4388720.0,4304460.0,4429300.0,4335280.0,4339720.0,4435380.0,4484810.0,219085.0
exomlir,16777216,9476060.0,8568220.0,9380990.0,9292250.0,9302400.0,9344690.0,9964100.0,8548380.0,9054920.0,9106250.0,9401010.0,8826740.0,9757420.0,8628570.0,9665340.0,9238940.0,9222270.0,417408.0
