compiler,size,cputime_0,cputime_1,cputime_2,cputime_3,cputime_4,cputime_5,cputime_6,cputime_7,cputime_8,cputime_9,cputime_10,cputime_11,cputime_12,cputime_13,cputime_14,cputime_15,mean,stddev
exomlir,8192,114813.0,117240.0,112132.0,122873.0,118768.0,121414.0,121751.0,110483.0,115319.0,120732.0,116871.0,116825.0,117769.0,107177.0,109380.0,121409.0,116560.0,4753.72
exomlir,16384,243795.0,254488.0,237804.0,237060.0,224551.0,242434.0,232083.0,216546.0,248543.0,223417.0,231506.0,235653.0,221391.0,243407.0,258539.0,276384.0,239225.0,15383.8
exomlir,32768,504166.0,505568.0,492702.0,476817.0,473230.0,501863.0,474312.0,461171.0,469145.0,489915.0,482852.0,483557.0,478594.0,479134.0,495309.0,440169.0,481781.0,16989.5
exomlir,65536,949923.0,974512.0,949829.0,969003.0,1056300.0,976062.0,965567.0,976772.0,1003870.0,965783.0,951288.0,946752.0,937359.0,958473.0,938100.0,982615.0,968888.0,29201.8
exomlir,131072,1962950.0,1985680.0,1951340.0,2188920.0,2097160.0,2141840.0,2188770.0,1915800.0,2002750.0,2029770.0,1957010.0,1987920.0,1932730.0,2082380.0,1972370.0,1968320.0,2022860.0,89266.7
exomlir,262144,4155910.0,3942180.0,3969020.0,4169220.0,4256320.0,4093290.0,4136260.0,4182710.0,4327050.0,4343750.0,4310280.0,4445160.0,4245340.0,4437810.0,4323550.0,4327280.0,4229070.0,147707.0
exomlir,524288,9693800.0,8511420.0,9440360.0,8934160.0,9133920.0,9198300.0,8048040.0,8154700.0,8219330.0,8151930.0,8129870.0,8780080.0,8668190.0,7995460.0,8135910.0,7916040.0,8569470.0,566016.0
exomlir,1048576,16368500.0,16274600.0,16105400.0,17421000.0,17711800.0,17053400.0,17067200.0,17172700.0,16762500.0,17850400.0,16643800.0,16236300.0,15932100.0,16513300.0,16133500.0,16448000.0,16730900.0,589364.0
exomlir,2097152,33077200.0,33179800.0,34279400.0,34758500.0,33764800.0,33428300.0,33095600.0,35618600.0,36888400.0,36327400.0,37808400.0,35810100.0,33210900.0,35450700.0,35727400.0,36692400.0,34944900.0,1553780.0
exomlir,4194304,71832400.0,71232100.0,74410300.0,67423400.0,71275000.0,69090500.0,73272100.0,72929100.0,67516800.0,69849400.0,69014000.0,69260200.0,74960600.0,73690800.0,74290100.0,69590800.0,71227400.0,2491490.0
exomlir,8388608,144439000.0,143966000.0,146143000.0,147066000.0,145621000.0,142689000.0,143799000.0,140751000.0,145283000.0,142460000.0,143878000.0,146555000.0,145122000.0,143797000.0,142774000.0,138327000.0,143917000.0,2229560.0
exomlir,16777216,287220000.0,276591000.0,279765000.0,266957000.0,270299000.0,271984000.0,286878000.0,267782000.0,271637000.0,283175000.0,280950000.0,280091000.0,283979000.0,285245000.0,262708000.0,256860000.0,275758000.0,9163780.0
